Sample,X(ms) [24.09.2026 09:48:38 648 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","referentna_vrednost[%MD10]"
2073,1790243345276.351619,100,79.9967651367188,100
2074,1790243345316.319119,100,79.9967651367188,100
2075,1790243345356.350019,100,79.9967651367188,100
2076,1790243345396.332819,100,79.9967651367188,100
2077,1790243345436.336819,100,79.9967651367188,100
2078,1790243345476.318019,100,79.9967651367188,100
2079,1790243345516.341019,100,79.9967651367188,100
2080,1790243345556.380319,100,79.9967651367188,100
2081,1790243345596.318519,100,79.9967651367188,100
2082,1790243345636.395219,100,79.9967651367188,100
2083,1790243345676.318519,100,79.9967651367188,100
2084,1790243345716.344419,100,79.9967651367188,100
2085,1790243345756.310519,100,79.9967651367188,100
2086,1790243345796.330619,100,79.9967651367188,100
2087,1790243345837.012219,100,79.9967651367188,100
2088,1790243345876.346619,100,79.9967651367188,100
2089,1790243345916.278419,100,79.9967651367188,100
2090,1790243345956.282219,100,79.9967651367188,100
2091,1790243345996.282219,100,79.9967651367188,100
2092,1790243346036.280719,100,79.9967651367188,100
2093,1790243346076.306119,100,79.9967651367188,100
2094,1790243346116.302619,100,79.9967651367188,100
2095,1790243346156.298319,100,79.9967651367188,100
2096,1790243346196.400319,100,79.9967651367188,100
2097,1790243346236.282019,100,79.9967651367188,100
2098,1790243346276.292019,100,79.9967651367188,100
2099,1790243346316.284419,100,79.9967651367188,100
2100,1790243346356.269119,100,79.9967651367188,100
2101,1790243346396.310319,100,79.9967651367188,100
2102,1790243346436.306719,100,79.9967651367188,100
2103,1790243346476.276619,100,79.9967651367188,100
2104,1790243346516.256819,100,79.9967651367188,100
2105,1790243346556.255519,100,79.9967651367188,100
2106,1790243346596.263319,100,79.9967651367188,100
2107,1790243346636.260719,100,79.9967651367188,100
2108,1790243346676.362819,100,79.9967651367188,100
2109,1790243346716.260919,100,79.9967651367188,100
2110,1790243346756.369219,100,79.9967651367188,100
2111,1790243346796.247219,100,79.9967651367188,100
2112,1790243346836.276519,100,79.9967651367188,100
2113,1790243346876.243419,100,79.9967651367188,100
2114,1790243346916.250419,100,79.9967651367188,100
2115,1790243346956.232219,100,79.9967651367188,100
2116,1790243346996.742919,100,79.9967651367188,100
2117,1790243347036.348719,100,79.9967651367188,100
2118,1790243347077.181619,100,79.9967651367188,100
2119,1790243347116.677619,100,79.9967651367188,100
2120,1790243347157.222019,100,79.9967651367188,100
2121,1790243347196.251219,100,79.9967651367188,100
2122,1790243347236.213819,100,79.9967651367188,100
2123,1790243347276.223419,100,79.9967651367188,100
2124,1790243347316.203319,100,79.9967651367188,100
2125,1790243347356.901319,100,79.9967651367188,100
2126,1790243347396.251919,100,79.9967651367188,100
2127,1790243347436.204619,100,79.9967651367188,100
2128,1790243347476.219519,100,79.9967651367188,100
2129,1790243347516.211919,100,79.9967651367188,100
2130,1790243347556.384919,100,79.9967651367188,100
2131,1790243347596.197919,100,79.9967651367188,100
2132,1790243347636.228219,100,79.9967651367188,100
2133,1790243347676.194919,100,79.9967651367188,100
2134,1790243347716.190519,100,79.9967651367188,100
2135,1790243347756.175619,100,79.9967651367188,100
2136,1790243347796.222519,100,79.9967651367188,100
2137,1790243347836.208419,100,79.9967651367188,100
2138,1790243347876.218119,100,79.9967651367188,100
2139,1790243347916.182919,100,79.9967651367188,100
2140,1790243347956.146119,100,79.9967651367188,100
2141,1790243347996.229019,100,79.9967651367188,100
2142,1790243348036.147019,100,79.9967651367188,100
2143,1790243348076.284719,100,79.9967651367188,100
2144,1790243348116.250919,100,79.9967651367188,100
2145,1790243348156.185319,100,79.9967651367188,100
2146,1790243348196.181519,100,79.9967651367188,100
2147,1790243348236.152819,100,79.9967651367188,100
2148,1790243348276.183519,100,79.9967651367188,100
2149,1790243348316.149119,100,79.9967651367188,100
2150,1790243348356.142919,100,79.9967651367188,100
2151,1790243348396.116319,100,79.9967651367188,100
2152,1790243348436.282619,100,79.9967651367188,100
2153,1790243348476.115919,100,79.9967651367188,100
2154,1790243348516.261319,100,79.9967651367188,100
2155,1790243348556.300619,100,79.9967651367188,100
2156,1790243348596.236719,100,79.9967651367188,100
2157,1790243348636.428719,100,79.9967651367188,100
2158,1790243348676.240119,100,79.9967651367188,100
2159,1790243348716.136219,100,79.9967651367188,100
2160,1790243348756.124919,100,79.9967651367188,100
2161,1790243348796.159519,100,79.9967651367188,100
2162,1790243348836.118719,100,79.9967651367188,100
2163,1790243348876.126519,100,79.9967651367188,100
2164,1790243348916.109619,100,79.9967651367188,100
2165,1790243348956.090119,100,79.9967651367188,100
2166,1790243348996.173119,100,79.9967651367188,100
2167,1790243349036.095719,100,79.9967651367188,100
2168,1790243349076.095819,100,79.9967651367188,100
2169,1790243349116.103419,100,79.9967651367188,100
2170,1790243349156.092219,100,79.9967651367188,100
2171,1790243349196.157319,100,79.9967651367188,100
2172,1790243349236.293619,100,79.9967651367188,100
2173,1790243349276.092819,100,79.9967651367188,100
2174,1790243349316.073619,100,79.9967651367188,100
2175,1790243349356.147119,100,79.9967651367188,100
2176,1790243349396.101419,100,79.9967651367188,100
2177,1790243349436.071019,100,79.9967651367188,100
2178,1790243349476.086619,100,79.9967651367188,100
2179,1790243349516.067319,100,79.9967651367188,100
2180,1790243349556.055419,100,79.9967651367188,100
2181,1790243349596.082119,100,79.9967651367188,100
2182,1790243349636.100219,100,79.9967651367188,100
2183,1790243349676.054319,100,79.9967651367188,100
2184,1790243349716.063419,100,79.9967651367188,100
2185,1790243349756.044419,100,79.9967651367188,100
2186,1790243349796.039819,100,79.9967651367188,100
2187,1790243349836.027319,100,79.9967651367188,100
2188,1790243349876.061619,100,79.9967651367188,100
2189,1790243349916.051719,100,79.9967651367188,100
2190,1790243349956.055219,100,79.9967651367188,100
2191,1790243349996.021319,100,79.9967651367188,100
2192,1790243350036.028219,100,79.9967651367188,100
2193,1790243350076.075819,100,79.9967651367188,100
2194,1790243350116.493319,100,79.9967651367188,100
2195,1790243350156.024619,100,79.9967651367188,100
2196,1790243350196.029419,100,79.9967651367188,100
2197,1790243350236.065219,100,79.9967651367188,100
2198,1790243350276.005719,100,79.9967651367188,100
2199,1790243350316.017919,100,79.9967651367188,100
2200,1790243350356.177319,100,79.9967651367188,100
2201,1790243350396.004019,100,79.9967651367188,100
2202,1790243350436.018619,100,79.9967651367188,100
2203,1790243350476.006419,100,79.9967651367188,100
2204,1790243350516.004519,100,79.9967651367188,100
2205,1790243350555.989019,100,79.9967651367188,100
2206,1790243350596.117419,100,79.9967651367188,100
2207,1790243350635.995219,100,79.9967651367188,100
2208,1790243350675.980819,100,79.9967651367188,100
2209,1790243350715.977419,100,79.9967651367188,100
2210,1790243350755.985719,100,79.9967651367188,100
2211,1790243350796.001619,100,79.9967651367188,100
2212,1790243350835.961919,100,79.9967651367188,100
2213,1790243350876.004819,100,79.9967651367188,100
2214,1790243350916.253619,100,79.9967651367188,100
2215,1790243350955.974319,100,79.9967651367188,100
2216,1790243350995.989919,100,79.9967651367188,100
2217,1790243351035.979619,100,79.9967651367188,100
2218,1790243351075.968619,100,79.9967651367188,100
2219,1790243351115.950719,100,79.9967651367188,100
2220,1790243351155.965119,100,79.9967651367188,100
2221,1790243351195.933319,100,79.9967651367188,100
2222,1790243351235.967619,100,79.9967651367188,100
2223,1790243351276.253919,100,79.9967651367188,100
2224,1790243351316.137919,100,79.9967651367188,100
2225,1790243351357.105219,100,79.9967651367188,100
2226,1790243351395.992219,100,79.9967651367188,100
2227,1790243351435.940719,100,79.9967651367188,100
2228,1790243351475.956519,100,79.9967651367188,100
2229,1790243351515.947219,100,79.9967651367188,100
2230,1790243351555.976419,100,79.9967651367188,100
2231,1790243351596.052819,100,79.9967651367188,100
2232,1790243351635.951819,100,79.9967651367188,100
